MUSI 2202,PIANO COMPLEMENTARIO 6
ECON 4657,POBREZA Y DESARROLLO ECON
FISI 6981,TESIS I
MATE 6982,PRETESIS 3
MUSI 2809,TALLER L�RICO 5
PSIC 3990,INSCRIPCION A GRADO
DADM 6973,SEM. INVESTIGACI�N II PHD
MATE 2507,PROB. Y ESTAD ASUNTOS PUBLICOS
FISI 2432,ELECTROMAGNETISMO 1
MEDI 1218,BIOQUIMICA
IIND 2401C,REFUERZO ANALIS.DECISION INVER
MBIO 3603,MICROBIOLOGIA DE ALIMENTOS-LAB
IIND 4102,METOD.ESTADISTICOS MULTIVAR.
ARQU 3860,TEOR�A UI INTERDISC COLOMBIA
IELE 2206,FUNDAMENTOS DE ELECTR�NICA
BIOL 2309,ECOLOGIA-LAB
MUSI 1602,TECLADO 3
LITE 2407,LATIN III
ECON 6982,INVESTIGACION TESIS DOCTORAL 3
DISE 2357,COMUNICACI�N 2
ECON 3502,HIST.ANALISIS ECONOMICO
FISI 3013,SEM. QFT/FISICA-MATEMATICA
FILO 4811,TUTOR�A DE INVESTIGACI�N 2
QUIM 1510,FISICOQUIMICA I
IIND 4006,TESIS DE GRADO 2
MEDI 2107,ELEMENT. DE DECISION CLINICA I
FISI 4098,TRABAJO DE GRADO (1)
ICYA 2101,TERMOQUIMICA AMBIENTAL
ARQU 2103,PROYECTO LUGAR
IIND 3402,VALORACION DE EMPRESAS
ANTR 3179,SEM. ELECTIVO HOMOLOGADO 3
IIND 2103,PRINCIPIOS OPTIMIZACION
MEDI 3430,PROYECTO DE GRADO II
MATE 6904,PROYECTO DE TESIS 2
FISI 2028,M�TODOS COMPUTACIONALES
IELE 3420,INGENIERIA DE TELETRAFICO
CONT 1211,LIDERAZGO Y �TICA
DADM 6974,ASISTENCIA INVESTIGACION
IELE 1006,FUNDAMENTOS DE CIRCUITOS
EGOB 4115,PROYECTO DE GRADO II
CBIO 4913,TESIS MAESTRIA 2
ADMI 3107,CONSULTORIA
QUIM 3350,ESTEREOQU�MICA Y SELECTIVIDAD
MATE 3101,ALGEBRA ABSTRACTA 2
ARQU 3910,PROYECTO UNIDAD AVANZADA
MEDI 3539,INTERNADO SELECT. SALUD P�B. 2
MUSI 2700,ANALISIS MUSICAL 1
DISE 2616,FOTOGRAF�A 2: PERSONAS
IIND 3309,RELACIONES INDUSTRIALES
MUSI 2814,TALLER L�RICO 6
EGOB 1105,M�TODOS CUALI PARA ASUNTOS PUB
GEOC 3038,ESTRATIGRAF�A Y SEDIMENTOLOG�A
ARTE 2120,ESCULTURA Y CUERPO
