course_code,name,program_id
IBIO 2260,MODELADO Y SIMULACI�N SIST BIO,25
FISI 4405,MECANICA ANALITICA,1
IELE 3430,TALLER DE COMUNICACIONES,3
LENG 1744,CHINO 4,33
MTRI 4202,TEMAS AVANZ TRIB INTERNACIONAL,47
ICYA 4302,PLANIF. CONSTR. LEAN CONSTRUCT,4
ECON 6302,ECONOMETR�A 2 DOC,26
FISI 6972,EXAMEN DE CANDIDATURA,1
FILO 6990,TUTOR�A DE INVESTIGACI�N 4 DOC,29
MEDI 1219,LABORATORIO DE ANATOMIA,15
FISI 1005,COLOQUIO 2 DE FISICA,1
MADM 4550,ESTRATEGIA,48
CBIO 4805,PROFUNDIZAC. EN INVESTIGACION,17
CIDE 4134,ESTUDIOS DIRIGIDOS 2,24
MEDI 3524,MODULO SELECTIVO II SALUD P. 2,15
ECON 3747,ECON DEL COMPORTAMIENTO Y EXPE,26
QUIM 6982,TESIS 2 (DOCTORADO),5
IIND 4324,APLIC. Y TEORIA EVOLUTIVA ORG.,8
ISIS 1105,DISE�O Y ANALISIS DE ALGORI.,19
EGOB 4201,EVALUACION DE POLITICAS PUBL.,30
MATE 2211,CALCULO VARIABLE COMPLEJA,2
IIND 2201,CONTROL DE PRODUCCION,8
PSIC 3916,PSICOANALISIS NI�OS,28
MADM 4206,GERENCIA FINANCIERA,48
ARTE 3200,ARTE Y PROCESOS CIENTIFICOS,6
MATE 3902,PROYECTO DE GRADO,2
ECON 2105,TEORIA DE JUEGOS,26
ICYA 3078,PROY. FINAL DISE�O ING.CIVIL,4
MEDI 3540,INTERNADO SELECTIVO ADMI. 3,15
IQUI 3501,PROYECTO ESPECIAL,9
ANTR 1401,ANTROPOLOG�A BIOL�GICA,7
MBIO 3513,GENOMICA Y BIOINFORMATICA,37
MEDI 3504,MODULO SELECTIVO I SALUD P. 1,15
MUSI 1600,TECLADO 1,10
ANTR 3178,SEM. ELECTIVO HOMOLOGADO 2,7
ECON 4659,TEORIA DE JUEGOS,26
MEDI 3414,BITACORA CLINICA II,15
GEOC 3118,PALAEONTOLOGY MARINE REPTILES,12
IIND 2201C,REFUERZO CONTROL DE PRODUCCION,8
GEOC 3102,YACIMIENTOS MINERALES (L),12
IMEC 1330,TERMODIN�MICA,21
FISI 3101,SEMINARIO DE ALTAS ENERGIAS,1
ISIS 3007,PROYECTO DE GRADO,19
BIOL 1300,BIOLOGIA DE ORGANISMOS-TEO,41
IQUI 3106,FUND CIENCIA INGEN POLIMEROS,9
ECON 6202,MACROECONOM�A LP DOC,26
ISIS 2007,DISE�O PROD. E INNOVACI�N TI,19
DERE 2502,PROTECCI�N LABORAL,35
MUSI 3610,TRABAJO DE GRADO,10
MBIO 2400,BIOESTADISTICA-TEO,37
ARTI 4103,ARQUITECTURA DE NEGOCIO Y TI,39
ICYA 4102,MOD. PROCESOS Y SIST. AMBIENTA,4
CPOL 6975,EX AREA MAYOR-POL COLOMBIANA,13
MEDI 3427,URGENCIAS,15
MUSI 2515,COMPOSICI�N PARA LA IMAGEN II,10
PSIC 3884,INVESTIGACION DEL DESARROLLO,28
ISIS 4002,TUTORIAL,19
IELE 2901,MONITORIA ING ELECTR-ELECTRO 2,3
MUSI 1209,PIANO COMPLEMENTARIO 2,10
MUSI 2816,LITERATURA VOCAL 3,10
ANTR 6983,DESARROLLO TESIS DOCTORAL,7
MEDI 1105,EPIDEMIOLOGIA,15
ARTE 3603,PROYECTO NUEVO PENSUM,6
EGOB 3004,EVALUACI�N DE POL�TICAS P�BL,30
ISIS 1206,ESTRUCTURAS DE DATOS,19
LITE 2100,TEORIA LITERARIA 2,43
CBIO 6987,TESIS DOCTORADO 8,17
FISI 6113,SEMINARIO AVANZADO 3,1
MUSI 2202,PIANO COMPLEMENTARIO 6,10
ECON 4657,POBREZA Y DESARROLLO ECON,26
FISI 6981,TESIS I,1
MATE 6982,PRETESIS 3,2
MUSI 2809,TALLER L�RICO 5,10
PSIC 3990,INSCRIPCION A GRADO,28
DADM 6973,SEM. INVESTIGACI�N II PHD,46
MATE 2507,PROB. Y ESTAD ASUNTOS PUBLICOS,2
FISI 2432,ELECTROMAGNETISMO 1,1
MEDI 1218,BIOQUIMICA,15
IIND 2401C,REFUERZO ANALIS.DECISION INVER,8
MBIO 3603,MICROBIOLOGIA DE ALIMENTOS-LAB,37
IIND 4102,METOD.ESTADISTICOS MULTIVAR.,8
ARQU 3860,TEOR�A UI INTERDISC COLOMBIA,22
IELE 2206,FUNDAMENTOS DE ELECTR�NICA,3
BIOL 2309,ECOLOGIA-LAB,41
MUSI 1602,TECLADO 3,10
LITE 2407,LATIN III,43
ECON 6982,INVESTIGACION TESIS DOCTORAL 3,26
DISE 2357,COMUNICACI�N 2,16
ECON 3502,HIST.ANALISIS ECONOMICO,26
FISI 3013,SEM. QFT/FISICA-MATEMATICA,1
FILO 4811,TUTOR�A DE INVESTIGACI�N 2,29
QUIM 1510,FISICOQUIMICA I,5
IIND 4006,TESIS DE GRADO 2,8
MEDI 2107,ELEMENT. DE DECISION CLINICA I,15
FISI 4098,TRABAJO DE GRADO (1),1
ICYA 2101,TERMOQUIMICA AMBIENTAL,4
ARQU 2103,PROYECTO LUGAR,22
IIND 3402,VALORACION DE EMPRESAS,8
ANTR 3179,SEM. ELECTIVO HOMOLOGADO 3,7
IIND 2103,PRINCIPIOS OPTIMIZACION,8
MEDI 3430,PROYECTO DE GRADO II,15
MATE 6904,PROYECTO DE TESIS 2,2
FISI 2028,M�TODOS COMPUTACIONALES,1
IELE 3420,INGENIERIA DE TELETRAFICO,3
CONT 1211,LIDERAZGO Y �TICA,36
DADM 6974,ASISTENCIA INVESTIGACION,46
IELE 1006,FUNDAMENTOS DE CIRCUITOS,3
EGOB 4115,PROYECTO DE GRADO II,30
CBIO 4913,TESIS MAESTRIA 2,17
ADMI 3107,CONSULTORIA,27
QUIM 3350,ESTEREOQU�MICA Y SELECTIVIDAD,5
MATE 3101,ALGEBRA ABSTRACTA 2,2
